Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2015-04-18,27-035,GSW,,NOP,W (+7),1,40:06,13,25,.520,4,13,.308,4,7,.571,0,4,4,5,3,0,3,4,34,23.6,+20
2,2,2015-04-20,27-037,GSW,,NOP,W (+10),1,37:05,9,21,.429,3,9,.333,1,1,1.000,0,4,4,6,1,0,5,1,22,11.9,+3
3,3,2015-04-23,27-040,GSW,@,NOP,W (+4),1,43:51,10,29,.345,7,18,.389,13,14,.929,1,4,5,9,0,0,3,3,40,27.3,+13
4,4,2015-04-25,27-042,GSW,@,NOP,W (+11),1,38:14,11,20,.550,6,8,.750,11,12,.917,3,5,8,9,1,0,5,4,39,33.3,+14
5,5,2015-05-03,27-050,GSW,,MEM,W (+15),1,37:36,8,18,.444,4,8,.500,2,2,1.000,1,1,2,7,4,0,4,1,22,18.1,+14
6,6,2015-05-05,27-052,GSW,,MEM,L (-7),1,40:43,7,19,.368,2,11,.182,3,4,.750,0,5,5,6,0,0,3,0,19,10.8,-8
7,7,2015-05-09,27-056,GSW,@,MEM,L (-10),1,39:33,8,21,.381,2,10,.200,5,7,.714,1,1,2,6,1,1,4,1,23,13.2,-6
8,8,2015-05-11,27-058,GSW,@,MEM,W (+17),1,38:35,11,22,.500,4,9,.444,7,9,.778,2,6,8,5,2,0,4,4,33,24.3,+19
9,9,2015-05-13,27-060,GSW,,MEM,W (+20),1,32:33,6,16,.375,6,13,.462,0,0,,2,5,7,5,6,0,5,0,18,16.6,+16
10,10,2015-05-15,27-062,GSW,@,MEM,W (+13),1,38:40,11,25,.440,8,13,.615,2,2,1.000,0,6,6,10,0,0,4,3,32,22.5,+11
11,11,2015-05-19,27-066,GSW,,HOU,W (+4),1,39:25,13,22,.591,6,11,.545,2,3,.667,0,6,6,5,2,0,1,3,34,28.5,+11
12,12,2015-05-21,27-068,GSW,,HOU,W (+1),1,36:46,13,21,.619,5,11,.455,2,3,.667,0,3,3,6,1,0,6,2,33,22.4,-7
13,13,2015-05-23,27-070,GSW,@,HOU,W (+35),1,34:58,12,19,.632,7,9,.778,9,10,.900,3,2,5,7,2,1,4,2,40,36.6,+33
14,14,2015-05-25,27-072,GSW,@,HOU,L (-13),1,30:59,7,18,.389,6,13,.462,3,3,1.000,1,0,1,4,0,0,0,3,23,15.5,-23
15,15,2015-05-27,27-074,GSW,,HOU,W (+14),1,41:48,7,21,.333,3,11,.273,9,12,.750,1,7,8,6,5,0,3,3,26,20.7,+1
16,16,2015-06-04,27-082,GSW,,CLE,W (+8),1,42:39,10,20,.500,2,6,.333,4,4,1.000,0,4,4,8,2,0,4,1,26,20.4,+4
17,17,2015-06-07,27-085,GSW,,CLE,L (-2),1,42:16,5,23,.217,2,15,.133,7,8,.875,0,6,6,5,0,0,6,4,19,2.2,-2
18,18,2015-06-09,27-087,GSW,@,CLE,L (-5),1,43:46,10,20,.500,7,13,.538,0,0,,2,4,6,6,3,1,6,2,27,20.7,-6
19,19,2015-06-11,27-089,GSW,@,CLE,W (+21),1,41:03,8,17,.471,4,7,.571,2,2,1.000,0,2,2,7,1,0,4,1,22,15.4,+18
20,20,2015-06-14,27-092,GSW,,CLE,W (+13),1,42:07,13,23,.565,7,13,.538,4,4,1.000,3,4,7,4,2,0,5,2,37,28.4,+24
21,21,2015-06-16,27-094,GSW,@,CLE,W (+8),1,43:06,8,19,.421,3,11,.273,6,8,.750,0,6,6,8,3,0,3,3,25,20.3,+14
