Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-04-19,26-036,GSW,@,LAC,W (+4),1,44:39,6,16,.375,2,6,.333,0,0,,1,2,3,7,3,0,7,1,14,7.0,+5
2,2,2014-04-21,26-038,GSW,@,LAC,L (-40),1,31:00,9,17,.529,1,7,.143,5,5,1.000,0,1,1,8,2,0,2,4,24,20.0,-27
3,3,2014-04-24,26-041,GSW,,LAC,L (-2),1,43:25,5,12,.417,3,8,.375,3,4,.750,0,2,2,15,1,0,3,3,16,17.1,-1
4,4,2014-04-27,26-044,GSW,,LAC,W (+21),1,42:23,10,20,.500,7,14,.500,6,7,.857,1,6,7,7,1,1,2,3,33,28.5,+24
5,5,2014-04-29,26-046,GSW,@,LAC,L (-10),1,43:42,5,10,.500,4,7,.571,3,3,1.000,0,3,3,4,2,0,8,2,17,8.9,-5
6,6,2014-05-01,26-048,GSW,,LAC,W (+1),1,45:29,9,24,.375,2,8,.250,4,7,.571,1,3,4,9,0,0,2,1,24,15.1,+4
7,7,2014-05-03,26-050,GSW,@,LAC,L (-5),1,45:50,7,17,.412,3,7,.429,16,16,1.000,1,4,5,9,3,0,2,4,33,31.5,+2
