Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-04-21,25-303,SAS,,LAL,W (+12),1,25:13,2,6,.333,2,5,.400,0,0,,0,4,4,0,1,0,0,1,6,4.4,+1
2,2,2013-04-24,25-306,SAS,,LAL,W (+11),1,20:14,1,5,.200,0,1,.000,0,0,,0,3,3,2,1,1,2,2,2,0.1,-14
3,3,2013-04-26,25-308,SAS,@,LAL,W (+31),1,23:54,5,7,.714,1,3,.333,0,0,,0,4,4,4,1,0,0,1,11,12.7,+19
4,4,2013-04-28,25-310,SAS,@,LAL,W (+21),1,23:37,4,11,.364,1,3,.333,0,0,,2,3,5,2,0,1,0,1,9,6.9,+6
5,5,2013-05-06,25-318,SAS,,GSW,W (+2),1,44:09,8,14,.571,6,9,.667,0,0,,0,1,1,1,3,2,2,0,22,18.8,-10
6,6,2013-05-08,25-320,SAS,,GSW,L (-9),1,31:39,4,12,.333,2,6,.333,0,0,,2,4,6,2,1,1,0,4,10,7.3,-9
7,7,2013-05-10,25-322,SAS,@,GSW,W (+10),1,33:20,1,3,.333,1,3,.333,0,0,,1,3,4,3,0,1,1,3,3,3.5,-6
8,8,2013-05-12,25-324,SAS,@,GSW,L (-10),1,39:25,4,13,.308,2,9,.222,0,2,.000,4,3,7,0,2,1,0,2,10,7.3,-25
9,9,2013-05-14,25-326,SAS,,GSW,W (+18),1,31:56,6,10,.600,2,5,.400,2,2,1.000,0,3,3,3,2,1,0,3,16,15.9,+9
10,10,2013-05-16,25-328,SAS,@,GSW,W (+12),1,33:56,3,5,.600,3,4,.750,2,2,1.000,0,4,4,1,1,0,2,2,11,8.8,+11
11,11,2013-05-19,25-331,SAS,,MEM,W (+22),1,25:51,6,9,.667,3,6,.500,1,1,1.000,1,3,4,3,0,0,1,2,16,14.0,+28
12,12,2013-05-21,25-333,SAS,,MEM,W (+4),1,27:13,4,8,.500,3,4,.750,0,0,,1,3,4,1,0,3,1,3,11,9.2,+12
13,13,2013-05-25,25-337,SAS,@,MEM,W (+11),1,33:06,1,5,.200,1,5,.200,0,0,,0,6,6,3,1,1,1,0,3,4.5,0
14,14,2013-05-27,25-339,SAS,@,MEM,W (+7),1,27:28,2,6,.333,1,2,.500,0,0,,1,2,3,2,2,0,1,3,5,4.1,+1
15,15,2013-06-06,25-349,SAS,@,MIA,W (+4),1,34:08,4,9,.444,4,9,.444,0,0,,0,5,5,0,1,1,0,3,12,9.3,+2
16,16,2013-06-09,25-352,SAS,@,MIA,L (-19),1,30:00,6,6,1.000,5,5,1.000,0,0,,0,1,1,1,0,1,1,4,17,14.3,-9
17,17,2013-06-11,25-354,SAS,,MIA,W (+36),1,30:44,9,15,.600,7,9,.778,2,2,1.000,3,1,4,0,2,2,0,1,27,25.5,+23
18,18,2013-06-13,25-356,SAS,,MIA,L (-16),1,35:54,3,8,.375,3,5,.600,1,2,.500,0,4,4,4,1,1,2,5,10,6.9,-4
19,19,2013-06-16,25-359,SAS,,MIA,W (+10),1,39:11,8,15,.533,6,10,.600,2,2,1.000,0,6,6,0,0,3,2,4,24,17.0,+6
20,20,2013-06-18,25-361,SAS,@,MIA,L (-3),1,41:29,1,7,.143,1,5,.200,0,0,,2,2,4,0,1,2,1,4,3,0.3,-12
21,21,2013-06-20,25-363,SAS,@,MIA,L (-7),1,36:27,1,12,.083,1,6,.167,2,2,1.000,1,4,5,0,2,1,2,3,5,-1.6,0

