Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-04-20,26-302,SAS,,DAL,W (+5),1,23:54,0,2,.000,0,1,.000,0,0,,1,4,5,1,2,2,0,1,0,4.2,-6
2,2,2014-04-23,26-305,SAS,,DAL,L (-21),1,22:08,2,5,.400,2,5,.400,0,0,,0,2,2,2,0,1,2,1,6,3.6,-8
3,3,2014-04-26,26-308,SAS,@,DAL,L (-1),1,13:14,1,5,.200,1,4,.250,0,0,,0,2,2,1,0,0,0,2,3,0.4,-4
4,4,2014-04-28,26-310,SAS,@,DAL,W (+4),1,15:11,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0.6,-9
5,5,2014-04-30,26-312,SAS,,DAL,W (+6),1,15:37,2,2,1.000,2,2,1.000,0,0,,0,3,3,0,2,2,1,2,6,7.9,+12
6,6,2014-05-02,26-314,SAS,@,DAL,L (-2),1,29:14,7,7,1.000,2,2,1.000,1,2,.500,0,5,5,0,0,2,2,1,17,15.0,-1
7,7,2014-05-04,26-316,SAS,,DAL,W (+23),1,32:09,5,7,.714,4,6,.667,2,2,1.000,0,3,3,1,1,1,0,4,16,14.8,+21
8,8,2014-05-06,26-318,SAS,,POR,W (+24),1,15:11,0,3,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,4,0,-2.4,+7
9,9,2014-05-08,26-320,SAS,,POR,W (+17),1,22:47,3,7,.429,2,5,.400,0,0,,0,3,3,3,0,2,0,1,8,8.3,+11
10,10,2014-05-10,26-322,SAS,@,POR,W (+15),1,19:54,2,7,.286,1,5,.200,0,0,,0,3,3,0,2,0,0,2,5,3.0,-2
11,11,2014-05-12,26-324,SAS,@,POR,L (-11),1,21:40,4,11,.364,1,7,.143,0,0,,1,2,3,0,1,0,3,2,9,1.4,+2
12,12,2014-05-14,26-326,SAS,,POR,W (+22),1,35:20,9,13,.692,4,6,.667,0,0,,0,9,9,1,1,1,0,2,22,20.8,+23
13,13,2014-05-19,26-331,SAS,,OKC,W (+17),1,27:04,6,7,.857,4,5,.800,0,0,,1,3,4,1,2,0,0,3,16,16.6,+30
14,14,2014-05-21,26-333,SAS,,OKC,W (+35),1,28:25,7,11,.636,7,10,.700,0,0,,1,2,3,1,3,0,0,1,21,20.7,+25
15,15,2014-05-25,26-337,SAS,@,OKC,L (-9),1,26:16,3,12,.250,2,6,.333,0,0,,0,2,2,0,0,0,0,3,8,0.2,-19
16,16,2014-05-27,26-339,SAS,@,OKC,L (-13),1,15:02,1,4,.250,1,2,.500,0,0,,1,1,2,0,2,1,3,2,3,0.5,-8
17,17,2014-05-29,26-341,SAS,,OKC,W (+28),1,22:23,4,9,.444,4,8,.500,2,2,1.000,1,3,4,1,1,1,1,2,14,11.5,+14
18,18,2014-05-31,26-343,SAS,@,OKC,W (+5),1,38:01,4,12,.333,2,6,.333,1,1,1.000,1,3,4,3,4,2,2,3,11,10.1,+15
19,19,2014-06-05,26-348,SAS,,MIA,W (+15),1,28:08,4,9,.444,3,7,.429,2,2,1.000,1,2,3,1,2,1,1,2,13,11.2,+2
20,20,2014-06-08,26-351,SAS,,MIA,L (-2),1,17:50,3,5,.600,2,3,.667,1,1,1.000,0,1,1,0,1,0,0,3,9,6.8,0
21,21,2014-06-10,26-353,SAS,@,MIA,W (+19),1,21:19,7,8,.875,1,2,.500,0,1,.000,0,1,1,3,5,1,2,4,15,16.3,+14
22,22,2014-06-12,26-355,SAS,@,MIA,W (+21),1,19:19,3,5,.600,3,5,.600,0,0,,1,2,3,0,0,0,2,5,9,4.0,-7
23,23,2014-06-15,26-358,SAS,,MIA,W (+17),1,19:07,0,5,.000,0,3,.000,0,0,,0,2,2,2,2,0,1,0,0,-0.5,-4
