idno,litter_size,number_male,number_female,sire
320,8,2,4,4132
315,11,5,5,1535
314,2,0,2,2635
305,2,2,0,4132
319,9,6,1,2242
303,1,0,1,4110
313,7,4,3,3539
317,11,7,3,2216
318,8,4,2,2768
321,11,4,3,5577
307,3,0,2,5263
312,8,4,4,4132
306,10,6,4,4132
308,9,5,4,517
304,7,5,2,516
309,3,0,3,792
301,7,3,4,5262
302,9,4,5,3859
311,1,1,0,1536
323,4,2,2,1904
322,5,1,4,1904
326,10,2,8,1899
325,10,6,4,4959
324,7,2,5,5606
410,8,3,3,2917
405,5,3,2,3342
431,4,1,1,1932
391,5,2,3,4857
331,3,1,2,2248
342,4,2,2,2249
330,2,0,2,966
376,6,1,5,3386
437,7,1,2,868
361,6,2,4,2124
344,5,1,4,406
337,7,1,0,1503
406,4,4,0,2865
403,6,5,1,3342
339,6,3,3,430
350,8,6,2,1780
381,7,1,6,2917
392,7,6,1,3342
346,6,1,4,2248
421,4,3,0,1846
387,3,2,1,406
371,8,6,2,1846
416,6,2,3,2249
363,6,5,1,2696
413,9,4,4,2504
341,6,2,4,813
424,6,4,0,3342
426,6,3,1,406
434,5,1,2,1232
357,5,2,3,966
433,4,0,2,2148
372,8,3,5,2795
401,3,1,2,387
386,5,2,3,4017
385,5,3,2,4017
366,1,0,1,861
359,9,3,6,1655
329,3,1,2,5005
340,7,3,4,2387
430,6,2,1,2991
420,4,1,2,4787
399,2,0,2,1846
404,3,0,3,966
409,8,4,4,2215
355,3,2,1,1846
383,4,1,2,1138
365,6,2,4,2917
367,8,5,3,3921
370,7,3,4,813
418,4,1,2,588
402,8,6,2,79
348,5,1,4,608
423,5,1,3,3265
425,6,2,2,110
389,10,3,3,79
429,5,2,1,2917
328,4,1,3,2696
382,5,1,4,2248
378,5,3,2,861
412,3,1,1,227
358,7,2,5,1846
415,7,2,4,5157
407,5,2,3,707
397,2,0,2,2248
353,6,2,4,1655
349,8,4,4,813
352,5,2,3,1465
343,10,2,1,79
351,5,4,1,966
345,7,3,4,3386
364,7,4,3,3404
439,10,5,0,3921
356,6,4,2,387
438,9,1,4,4688
368,4,2,2,861
432,6,3,1,2248
396,3,2,1,227
333,6,2,4,4857
408,3,2,1,2249
427,3,0,1,1932
436,6,1,2,1763
398,2,1,1,2248
374,5,1,4,2657
428,9,3,4,868
332,4,3,1,3473
419,7,3,3,868
417,5,3,1,589
379,6,5,1,1894
334,6,1,5,3342
435,6,2,1,2917
362,5,4,1,406
411,5,2,2,2917
395,3,1,2,707
380,6,4,2,1232
336,6,2,4,3473
369,10,5,5,4786
338,3,1,2,2795
393,4,2,2,966
327,7,5,2,966
388,7,5,2,861
347,5,4,1,707
354,5,3,2,387
422,5,2,2,3607
384,7,1,1,79
377,4,1,3,1138
335,6,4,2,387
390,1,0,1,5862
360,5,3,2,2657
394,8,2,6,1894
400,4,1,3,1846
375,9,5,4,3921
414,2,1,0,707
373,5,3,2,2248
450,2,1,1,4105
445,8,3,5,4627
443,7,4,3,2015
449,1,1,0,5609
454,5,0,1,971
446,8,5,3,2573
451,2,1,0,4104
453,7,0,5,431
444,5,4,1,5545
440,7,7,0,2015
442,1,0,1,1549
452,7,3,2,128
448,9,3,6,5150
447,6,3,3,5545
441,6,4,2,5545
455,11,2,2,5266
459,3,1,2,2341
460,7,1,6,2389
461,2,0,2,2389
456,4,3,1,1624
463,3,2,1,4219
462,6,2,4,3652
457,2,0,2,3652
464,2,1,0,5299
458,3,2,1,4839
553,3,2,1,4819
554,11,0,1,4306
685,5,2,0,6040
608,4,0,4,5175
589,1,0,1,1961
571,2,0,2,2333
622,2,1,1,5548
690,13,2,3,832
687,8,3,2,770
564,8,2,6,5869
557,14,2,12,770
599,9,6,3,2786
670,5,2,2,252
598,9,4,5,1906
648,9,3,5,2786
683,5,1,2,3335
604,7,3,4,1906
591,3,2,1,1961
607,6,5,1,82
597,8,3,5,2426
596,9,4,5,520
594,2,2,0,2786
619,6,5,1,1693
614,2,2,0,2152
567,7,4,3,1435
605,7,5,2,1238
629,7,2,5,832
